dataset,features_varied,metrics,numb_of_cfs,f1_score
Admission,all,prox,100,0.851063829787234
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8032128514056226
Admission,all,prox,100,0.8163265306122449
Admission,all,prox,100,0.819672131147541
Admission,all,prox,100,0.8438818565400844
Admission,all,prox,100,0.7160493827160495
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8298755186721991
Admission,all,prox,100,0.8097165991902835
Admission,all,prox,100,0.8646288209606987
Admission,all,prox,100,0.8438818565400844
Admission,all,prox,100,0.7160493827160495
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8438818565400844
Admission,all,prox,100,0.8
Admission,all,prox,100,0.8547008547008548
Admission,all,prox,100,0.8333333333333333
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8
Admission,all,prox,100,0.8
Admission,all,prox,100,0.819672131147541
Admission,all,obta,100,0.8088888888888889
Admission,all,obta,100,0.7532467532467532
Admission,all,obta,100,0.8240343347639485
Admission,all,obta,100,0.3221476510067114
Admission,all,obta,100,0.8264462809917354
Admission,all,obta,100,0.8438818565400844
Admission,all,obta,100,0.8245614035087719
Admission,all,obta,100,0.1111111111111111
Admission,all,obta,100,0.8403361344537814
Admission,all,obta,100,0.851063829787234
Admission,all,obta,100,0.8130081300813007
Admission,all,obta,100,0.853448275862069
Admission,all,obta,100,0.8214285714285714
Admission,all,obta,100,0.7206477732793523
Admission,all,obta,100,0.8088888888888889
Admission,all,obta,100,0.8298755186721991
Admission,all,obta,100,0.819672131147541
Admission,all,obta,100,0.8298755186721991
Admission,all,obta,100,0.8017621145374448
Admission,all,obta,100,0.5358851674641149
Admission,all,obta,100,0.8340807174887893
Admission,all,obta,100,0.7929515418502202
Admission,all,obta,100,0.8127853881278538
Admission,all,obta,100,0.8495575221238937
Admission,all,obta,100,0.8205128205128206
Admission,all,obta,100,0.32098765432098764
Admission,all,obta,100,0.832579185520362
Admission,all,obta,100,0.8166666666666667
Admission,all,obta,100,0.7906976744186046
Admission,all,obta,100,0.8319327731092437
Admission,all,all,100,0.851063829787234
Admission,all,all,100,0.6638297872340425
Admission,all,all,100,0.8281938325991189
Admission,all,all,100,0.8163265306122449
Admission,all,all,100,0.823045267489712
Admission,all,all,100,0.8695652173913044
Admission,all,all,100,0.8474576271186441
Admission,all,all,100,0.7154471544715447
Admission,all,all,100,0.8362068965517241
Admission,all,all,100,0.8064516129032258
Admission,all,all,100,0.823045267489712
Admission,all,all,100,0.8733624454148472
Admission,all,all,100,0.8474576271186441
Admission,all,all,100,0.7559055118110236
Admission,all,all,100,0.8398268398268398
Admission,all,all,100,0.8064516129032258
Admission,all,all,100,0.8163265306122449
Admission,all,all,100,0.8733624454148472
Admission,all,all,100,0.851063829787234
Admission,all,all,100,0.753968253968254
Admission,all,all,100,0.8384279475982533
Admission,all,all,100,0.8403361344537814
Admission,all,all,100,0.823045267489712
Admission,all,all,100,0.8733624454148472
Admission,all,all,100,0.8474576271186441
Admission,all,all,100,0.7338709677419354
Admission,all,all,100,0.8362068965517241
Admission,all,all,100,0.8474576271186441
Admission,all,all,100,0.8032128514056226
Admission,all,all,100,0.8163265306122449
