dataset,features_varied,metrics,numb_of_cfs,f1_score
Census,all,abno,98,0.6666666666666666
Census,all,abno,100,0.7043478260869566
Census,all,abno,100,0.6810035842293908
Census,all,abno,100,0.3354037267080745
Census,all,abno,100,0.7976878612716762
Census,all,abno,100,0.6363636363636364
Census,all,abno,98,0.21428571428571425
Census,all,abno,100,0.5856353591160222
Census,all,abno,99,0.5288461538461539
Census,all,abno,100,0.5294117647058824
Census,all,abno,100,0.6829268292682927
Census,all,abno,100,0.6890756302521008
Census,all,abno,99,0.6832740213523131
Census,all,abno,100,0.3354037267080745
Census,all,abno,100,0.554054054054054
Census,all,abno,100,0.505263157894737
Census,all,abno,96,0.21428571428571425
Census,all,abno,100,0.6788321167883212
Census,all,abno,100,0.49729729729729727
Census,all,abno,100,0.48484848484848486
Census,all,abno,100,0.6909090909090909
Census,all,abno,100,0.6821705426356589
Census,all,abno,100,0.7037037037037037
Census,all,abno,100,0.5803108808290157
Census,all,abno,99,0.5142857142857143
Census,all,abno,100,0.5550239234449761
Census,all,abno,98,0.21428571428571425
Census,all,abno,100,0.5376344086021505
Census,all,abno,100,0.46428571428571425
Census,all,gene,98,0.6301369863013699
Census,all,gene,99,0.5507246376811594
Census,all,gene,100,0.4742268041237113
Census,all,gene,99,0.6881720430107526
Census,all,gene,100,0.3393939393939394
Census,all,gene,100,0.24347826086956526
Census,all,gene,100,0.44285714285714284
Census,all,gene,100,0.9583333333333334
Census,all,gene,100,0.4418604651162791
Census,all,gene,99,0.10256410256410256
Census,all,gene,100,0.6754966887417219
Census,all,gene,100,0.5507246376811594
Census,all,gene,100,0.696
Census,all,gene,100,0.6881720430107526
Census,all,gene,100,0.3393939393939394
Census,all,gene,99,0.11214953271028037
Census,all,gene,100,0.4383561643835616
Census,all,gene,99,0.9690721649484536
Census,all,gene,99,0.41666666666666663
Census,all,gene,100,0.10256410256410256
Census,all,gene,100,0.9583333333333334
Census,all,gene,98,0.5507246376811594
Census,all,gene,100,0.6413502109704642
Census,all,gene,100,0.6784452296819787
Census,all,gene,100,0.3393939393939394
Census,all,gene,100,0.11214953271028037
Census,all,gene,100,0.4383561643835616
Census,all,gene,98,0.9795918367346939
Census,all,gene,100,0.45454545454545453
Census,all,gene,99,0.10256410256410256
Census,all,gene,100,0.8700564971751412
Census,all,gene,100,0.5507246376811594
Census,all,gene,100,0.6413502109704642
Census,all,gene,99,0.6784452296819787
Census,all,gene,100,0.34730538922155685
Census,all,gene,100,0.22807017543859648
Census,all,gene,100,0.4507042253521127
Census,all,gene,96,0.9637305699481865
Census,all,gene,100,0.48618784530386744
Census,all,gene,100,0.10256410256410256
Census,all,gene,100,0.8165680473372781
Census,all,gene,100,0.5507246376811594
Census,all,gene,100,0.6901960784313725
Census,all,gene,100,0.6736842105263159
Census,all,gene,100,0.3393939393939394
Census,all,gene,99,0.3089430894308943
Census,all,gene,100,0.31746031746031744
Census,all,gene,98,0.9795918367346939
Census,all,gene,100,0.45454545454545453
Census,all,gene,100,0.10256410256410256
Census,all,prox,98,0.924731182795699
Census,all,prox,99,0.6533333333333333
Census,all,prox,100,0.5987261146496815
Census,all,prox,99,0.6810035842293908
Census,all,prox,100,0.5806451612903226
Census,all,prox,100,0.4580152671755725
Census,all,prox,100,0.36470588235294116
Census,all,prox,100,0.019801980198019802
Census,all,prox,100,0.5060240963855421
Census,all,prox,99,0.4285714285714285
Census,all,prox,100,0.924731182795699
Census,all,prox,100,0.6928104575163399
Census,all,prox,100,0.5987261146496815
Census,all,prox,100,0.67595818815331
Census,all,prox,100,0.45390070921985815
Census,all,prox,99,0.4580152671755725
Census,all,prox,100,0.5079365079365079
Census,all,prox,99,0.019801980198019802
Census,all,prox,99,0.5060240963855421
Census,all,prox,100,0.4533333333333334
Census,all,prox,100,0.924731182795699
Census,all,prox,98,0.6797385620915032
Census,all,prox,100,0.5987261146496815
Census,all,prox,100,0.6810035842293908
Census,all,prox,100,0.5174825174825175
Census,all,prox,100,0.4580152671755725
Census,all,prox,100,0.37426900584795325
Census,all,prox,98,0.019801980198019802
Census,all,prox,100,0.5617977528089888
Census,all,prox,99,0.381578947368421
Census,all,prox,100,0.924731182795699
Census,all,prox,100,0.6928104575163399
Census,all,prox,100,0.5466666666666666
Census,all,prox,99,0.67595818815331
Census,all,prox,100,0.5314685314685315
Census,all,prox,100,0.4580152671755725
Census,all,prox,100,0.5079365079365079
Census,all,prox,96,0.019801980198019802
Census,all,prox,100,0.5617977528089888
Census,all,prox,100,0.5508474576271186
Census,all,prox,100,0.9189189189189189
Census,all,prox,100,0.6842105263157895
Census,all,prox,100,0.5987261146496815
Census,all,prox,100,0.67595818815331
Census,all,prox,100,0.4525547445255475
Census,all,prox,99,0.3968253968253968
Census,all,prox,100,0.36470588235294116
Census,all,prox,98,0.019801980198019802
Census,all,prox,100,0.5617977528089888
Census,all,prox,100,0.524390243902439
Census,all,obta,98,0.48484848484848486
Census,all,obta,99,0.6013986013986015
Census,all,obta,100,0.6407766990291262
Census,all,obta,99,0.6988847583643122
Census,all,obta,100,0.41255605381165916
Census,all,obta,100,0.6829268292682927
Census,all,obta,100,0.5025125628140703
Census,all,obta,100,0.6111111111111112
Census,all,obta,100,0.6210045662100457
Census,all,obta,99,0.4321608040201005
Census,all,obta,100,0.7261146496815287
Census,all,obta,100,0.6301369863013699
Census,all,obta,100,0.7161572052401746
Census,all,obta,100,0.7058823529411763
Census,all,obta,100,0.4077669902912621
Census,all,obta,99,0.6971428571428571
Census,all,obta,100,0.39999999999999997
Census,all,obta,99,0.8095238095238095
Census,all,obta,99,0.6747967479674797
Census,all,obta,100,0.05309734513274337
Census,all,obta,100,0.48484848484848486
Census,all,obta,98,0.7204968944099378
Census,all,obta,100,0.6502463054187193
Census,all,obta,100,0.7360000000000001
Census,all,obta,100,0.4315352697095436
Census,all,obta,100,0.5185185185185185
Census,all,obta,100,0.5095541401273885
Census,all,obta,98,0.9795918367346939
Census,all,obta,100,0.5274725274725274
Census,all,obta,99,0.4148936170212766
Census,all,obta,100,0.8372093023255813
Census,all,obta,100,0.7000000000000001
Census,all,obta,100,0.6407766990291262
Census,all,obta,99,0.7522123893805311
Census,all,obta,100,0.33720930232558144
Census,all,obta,100,0.5401459854014599
Census,all,obta,100,0.5025125628140703
Census,all,obta,96,0.6577181208053691
Census,all,obta,100,0.5056179775280899
Census,all,obta,100,0.2641509433962264
Census,all,obta,100,0.5074626865671642
Census,all,obta,100,0.662251655629139
Census,all,obta,100,0.6407766990291262
Census,all,obta,100,0.7054545454545454
Census,all,obta,100,0.4315352697095436
Census,all,obta,99,0.1754385964912281
Census,all,obta,100,0.39106145251396646
Census,all,obta,98,0.6394557823129251
Census,all,obta,100,0.696
Census,all,obta,100,0.391304347826087
Census,all,all,98,0.9637305699481865
Census,all,all,99,0.6206896551724138
Census,all,all,100,0.6889952153110047
Census,all,all,99,0.6713286713286712
Census,all,all,100,0.4065934065934066
Census,all,all,100,0.6577181208053691
Census,all,all,100,0.3458646616541353
Census,all,all,100,0.9795918367346939
Census,all,all,100,0.6210045662100457
